folder name,yt link,status
@terenyuh,https://www.youtube.com/@terenyuh/shorts,
@Rizalmaihndra,https://www.youtube.com/@Rizalmaihndra/shorts,
@MindHumor.,https://www.youtube.com/@MindHumor./shorts,
@historifilosofi,https://www.youtube.com/@historifilosofi/shorts,
@LiusLima,https://www.youtube.com/@LiusLima/shorts,
@closethedoorclips,https://www.youtube.com/@closethedoorclips/shorts,
@Story_266,https://www.youtube.com/@Story_shorts266/shorts,
@Selebritifc,https://www.youtube.com/@Selebritifc/shorts,
@galerypodcast,https://www.youtube.com/@galerypodcast/shorts,
@Kaum_rebahan0596,https://www.youtube.com/@Kaum_rebahan0596/shorts,
@karyabadra,https://www.youtube.com/@karyabadra/shorts,
@SIGMAMOTIVATED,https://www.youtube.com/@SIGMAMOTIVATED/shorts,
@ciciandmasbule,https://www.youtube.com/@ciciandmasbule/shorts,
@vwxzo,https://www.youtube.com/@vwxzo/shorts,
@bangkiwiil,https://www.youtube.com/@bangkiwiil/shorts,
@temanberceritaaa,https://www.youtube.com/@temanberceritaaa/shorts,
@GEWIOfficial,https://www.youtube.com/@GEWIOfficial/shorts,
@juanneve,https://www.youtube.com/@juanneve/shorts,
@BapackNadiem,https://www.youtube.com/@BapackNadiem/shorts,
@recehinblog,https://www.youtube.com/@recehinblog/shorts,
@tawadanharu,https://www.youtube.com/@tawadanharu/shorts,
@geraldvincentt,https://www.youtube.com/@geraldvincentt/shorts,
@KutProfesional,https://www.youtube.com/@KutProfesional/shorts,
@fawad_11,https://www.youtube.com/@fawad_11/shorts,
@ishakdaeng,https://www.youtube.com/@ishakdaeng/shorts,
@anindithacahyadi,https://www.youtube.com/@anindithacahyadi/shorts,
@okemudin,https://www.youtube.com/@okemudin/shorts,
@mr.kingleon,https://www.youtube.com/@mr.kingleon/shorts,
@ivanlafofficial,https://www.youtube.com/@ivanlafofficial/shorts,
@musik_quotes,https://www.youtube.com/@musik_quotes/shorts,
@Stockwiseid,https://www.youtube.com/@Stockwiseid/shorts,
@Hamdn27,https://www.youtube.com/@Hamdn27/shorts,
@richpap1,https://www.youtube.com/@richpap1/shorts,
@gumilangjati,https://www.youtube.com/@gumilangjati/shorts,
@INFORMASIBIO,https://www.youtube.com/@INFORMASIBIO/shorts,
@ngobrolsehatHQ,https://www.youtube.com/@ngobrolsehatHQ/shorts,
@HennSYN,https://www.youtube.com/@HennSYN/shorts,
@PaBol.,https://www.youtube.com/@PaBol./shorts,
@misterijokbelakang125,https://www.youtube.com/@misterijokbelakang125/shorts,
@SimpanCerdas,https://www.youtube.com/@SimpanCerdas/shorts,
@Marss-hn7kv,https://www.youtube.com/@Marss-hn7kv/shorts,
@Wakdulexe24,https://www.youtube.com/@Wakdulexe24/shorts,
@ruddyart12,https://www.youtube.com/@ruddyart12/shorts,
@mbahwarj0channel356,https://www.youtube.com/@mbahwarj0channel356/shorts,
@mainanzizo3377,https://www.youtube.com/@mainanzizo3377/shorts,
@ussypro,https://www.youtube.com/@ussypro/shorts,
@Ranvock,https://www.youtube.com/@Ranvock/shorts,
@taing07,https://www.youtube.com/@taing07/shorts,
@yu4440,https://www.youtube.com/@shortsyu4440/shorts,
@BRAINYBITSYT,https://www.youtube.com/@BRAINYBITSYT/shorts,
@braderreal,https://www.youtube.com/@braderreal/shorts,
@dj_star3114,https://www.youtube.com/@dj_star3114/shorts,
@Prabunews,https://www.youtube.com/@Prabunews/shorts,
@EukalCeha,https://www.youtube.com/@EukalCeha/shorts,
@Bangun_Usaha_Official,https://www.youtube.com/@Bangun_Usaha_Official/shorts,
@Inventor101,https://www.youtube.com/@Inventor101/shorts,
@Laguindiee,https://www.youtube.com/@Laguindiee/shorts,
@pusarantv,https://www.youtube.com/@pusarantv/shorts,
@RaymondChins,https://www.youtube.com/@RaymondChins/shorts,
@esge_electronics,https://www.youtube.com/@esge_electronics/shorts,
@Abadachannel,https://www.youtube.com/@Abadachannel/shorts,
@Mntw_Lyrics,https://www.youtube.com/@Mntw_Lyrics/shorts,
@zeplinnandapratama_,https://www.youtube.com/@zeplinnandapratama_/shorts,
@TheSamandana,https://www.youtube.com/@TheSamandana/shorts,
@HelehPilem,https://www.youtube.com/@HelehPilem/shorts,
@ClipPodcast_id,https://www.youtube.com/@ClipPodcast_id/shorts,
@IkkyToussen,https://www.youtube.com/@IkkyToussen/shorts,
@POINTGOID,https://www.youtube.com/@POINTGOID/shorts,
@reiwa_id,https://www.youtube.com/@reiwa_id/shorts,
@mladventurezone,https://www.youtube.com/@mladventurezone/shorts,
